FirstName,LastName,Email,Phone,StreetAddress1,StreetAddress2,City,State,Country,Zip_PostalCode
Erika,Johnson,erikajohnson@etps2.com,2607973897,7096 Indian Spring Ave.,Muskego,FWA,IN,US,46804
Peter,Johnson,peterjohnson@etps2.com,703-364-1032,567 Armstrong St.,Montclair,RES,VA,US,20190
John,Miller,johnmiller@etps2.com,512-513-3757,62 Meadow Court,Massapequa Park,BNA,TN,US,37217
Peter,Williams,peterwilliams@etps2.com,212-723-2236,7096 Indian Spring Ave.,Muskego,NYC,NY,US,10013
Carol,Davis,caroldavis@etps2.com,7175268737,39 Silver Spear Avenue,Springboro,Steelton,PA,US,17113
Paul,Wilson,abc@gmail.com,555-5555-000,7635 Griffin Circle,Morganton,SAO,SP,BR,4311900
Paul,Jones,dce@gmail.com,555-5555-111,567 Armstrong St.,Montclair,SAO,SP,BR,1311100
Jason,Borne,fgh@gmail.com,555-5555-222,7096 Indian Spring Ave.,Muskego,SAO,SP,BR,5802140
Steve,Smith,ijk@gmail.com,555-5555-333,7635 Griffin Circle,Middle Village,SAO,SP,BR,4532011
John,Williams,xyz@gmail.com,555-5555-444,39 Silver Spear Avenue,Springboro,SAO,SP,BR,1010901
